rounds: 10 | txs: 500 | p_graph: 0.3 | p_byzantine: 0.15 | p_tx_dist: 0.1 | initialized in 1.520ms | seeds: (12104049733298454624, 14257872961345072056) | simulation done in 2.386s | count of tx upon which consensus was reached 500
rounds: 10 | txs: 1000 | p_graph: 0.1 | p_byzantine: 0.45 | p_tx_dist: 0.01 | initialized in 1.054ms | seeds: (15358929387656441641, 11775141670794970683) | simulation done in 385.495ms | count of tx upon which consensus was reached 597
rounds: 10 | txs: 1000 | p_graph: 0.1 | p_byzantine: 0.3 | p_tx_dist: 0.01 | initialized in 1.078ms | seeds: (13562499368070386862, 17313609594588568219) | simulation done in 704.117ms | count of tx upon which consensus was reached 629
rounds: 10 | txs: 1000 | p_graph: 0.1 | p_byzantine: 0.15 | p_tx_dist: 0.05 | initialized in 1.576ms | seeds: (12516378716610491634, 14076478244222579671) | simulation done in 1.827s | count of tx upon which consensus was reached 993
rounds: 10 | txs: 1000 | p_graph: 0.1 | p_byzantine: 0.45 | p_tx_dist: 0.1 | initialized in 2.056ms | seeds: (13298557166251959340, 12122752975188376687) | simulation done in 715.418ms | count of tx upon which consensus was reached 1000
rounds: 10 | txs: 1000 | p_graph: 0.1 | p_byzantine: 0.3 | p_tx_dist: 0.05 | initialized in 1.513ms | seeds: (4532720614273360348, 4563451137919798447) | simulation done in 1.233s | count of tx upon which consensus was reached 994
rounds: 10 | txs: 1000 | p_graph: 0.1 | p_byzantine: 0.15 | p_tx_dist: 0.1 | initialized in 3.380ms | seeds: (10912114959291266945, 9995621859310841538) | simulation done in 1.812s | count of tx upon which consensus was reached 1000
rounds: 10 | txs: 1000 | p_graph: 0.1 | p_byzantine: 0.45 | p_tx_dist: 0.05 | initialized in 1.844ms | seeds: (3206259205059091466, 1081883425409830926) | simulation done in 939.261ms | count of tx upon which consensus was reached 993
rounds: 10 | txs: 1000 | p_graph: 0.2 | p_byzantine: 0.3 | p_tx_dist: 0.01 | initialized in 1.054ms | seeds: (7821543927765982030, 8994096699467994935) | simulation done in 1.324s | count of tx upon which consensus was reached 624
rounds: 10 | txs: 1000 | p_graph: 0.1 | p_byzantine: 0.3 | p_tx_dist: 0.1 | initialized in 2.035ms | seeds: (17740828043183237774, 9311482862045969042) | simulation done in 1.094s | count of tx upon which consensus was reached 1000
rounds: 10 | txs: 1000 | p_graph: 0.2 | p_byzantine: 0.15 | p_tx_dist: 0.01 | initialized in 1.084ms | seeds: (13890294433586693595, 1961814219537198135) | simulation done in 2.064s | count of tx upon which consensus was reached 630
rounds: 10 | txs: 1000 | p_graph: 0.2 | p_byzantine: 0.45 | p_tx_dist: 0.01 | initialized in 1.032ms | seeds: (9532381316566172963, 2981074717902944601) | simulation done in 859.421ms | count of tx upon which consensus was reached 667
rounds: 10 | txs: 1000 | p_graph: 0.2 | p_byzantine: 0.3 | p_tx_dist: 0.05 | initialized in 1.632ms | seeds: (798939654256108282, 13550717979774591041) | simulation done in 2.016s | count of tx upon which consensus was reached 992
rounds: 10 | txs: 1000 | p_graph: 0.2 | p_byzantine: 0.45 | p_tx_dist: 0.1 | initialized in 2.139ms | seeds: (18298487959033026737, 13971685814478912100) | simulation done in 1.542s | count of tx upon which consensus was reached 1000
rounds: 10 | txs: 1000 | p_graph: 0.2 | p_byzantine: 0.15 | p_tx_dist: 0.05 | initialized in 1.569ms | seeds: (10152080757778036400, 12573108953470188114) | simulation done in 3.760s | count of tx upon which consensus was reached 988
rounds: 10 | txs: 1000 | p_graph: 0.2 | p_byzantine: 0.45 | p_tx_dist: 0.05 | initialized in 1.739ms | seeds: (2515524774424891993, 6962348891764026839) | simulation done in 2.023s | count of tx upon which consensus was reached 993
rounds: 10 | txs: 1000 | p_graph: 0.2 | p_byzantine: 0.15 | p_tx_dist: 0.1 | initialized in 2.218ms | seeds: (13665734868390097438, 2081744084957103221) | simulation done in 3.629s | count of tx upon which consensus was reached 1000
rounds: 10 | txs: 1000 | p_graph: 0.2 | p_byzantine: 0.3 | p_tx_dist: 0.1 | initialized in 2.125ms | seeds: (9027366968496112088, 1838884836529425565) | simulation done in 3.074s | count of tx upon which consensus was reached 1000
rounds: 10 | txs: 1000 | p_graph: 0.3 | p_byzantine: 0.15 | p_tx_dist: 0.01 | initialized in 1.146ms | seeds: (5590413625825182425, 16377425841910946293) | simulation done in 2.961s | count of tx upon which consensus was reached 626
rounds: 10 | txs: 1000 | p_graph: 0.3 | p_byzantine: 0.3 | p_tx_dist: 0.01 | initialized in 1.163ms | seeds: (6262541860685486409, 16787919323418312860) | simulation done in 2.165s | count of tx upon which consensus was reached 634
rounds: 10 | txs: 1000 | p_graph: 0.3 | p_byzantine: 0.45 | p_tx_dist: 0.01 | initialized in 1.126ms | seeds: (11121383345061387631, 5676911246672001625) | simulation done in 1.645s | count of tx upon which consensus was reached 649
rounds: 10 | txs: 1500 | p_graph: 0.1 | p_byzantine: 0.15 | p_tx_dist: 0.01 | initialized in 1.485ms | seeds: (6452039681841342019, 17366873050921092336) | simulation done in 1.211s | count of tx upon which consensus was reached 934
